oid,mjd,mag,magerr,catflags,filtercode,ra,dec
820203200001657,58198.3723032,20.1381493,0.141405255,0,zr,190.4886622,59.9245089
820203200001657,58199.2772569,19.8433495,0.115069941,0,zr,190.4885849,59.9244447
820203200001657,58199.3215972,19.9883308,0.127573833,32768,zr,190.4888652,59.9246158
820203200001657,58216.2290394,19.8020306,0.111678623,0,zr,190.4886517,59.9246289
820203200001657,58216.2486227,20.0649376,0.134539574,0,zr,190.4886643,59.924499
820203200001657,58216.249537,20.0234413,0.130737215,0,zr,190.4885721,59.9244877
820203200001657,58217.2337847,20.1858234,0.145974368,0,zr,190.4885409,59.9245337
820203200001657,58217.2671412,20.0834045,0.136253104,0,zr,190.4885842,59.9245657
820203200001657,58217.2727662,20.2705612,0.154257372,0,zr,190.4883752,59.9246349
820203200001657,58217.2736806,19.9071083,0.120454982,0,zr,190.488629,59.9244857
820203200001657,58217.2924421,20.0990791,0.137717307,32768,zr,190.4884692,59.9245739
820203200001657,58217.3116435,20.1797295,0.145386338,0,zr,190.4885813,59.9245457
820203200001657,58217.3125579,20.0723515,0.135225996,0,zr,190.4885277,59.9245273
820203200001657,58217.3134722,20.2546463,0.152687937,0,zr,190.4885857,59.9245506
820203200001657,58217.3340509,19.9208241,0.121637121,0,zr,190.4885808,59.9245412
820203200001657,58218.2473727,20.1292305,0.14055866,0,zr,190.4885414,59.9244752
820203200001657,58218.250706,20.0089664,0.129427016,0,zr,190.4885699,59.9244929
820203200001657,58218.2870949,20.1387215,0.141459659,0,zr,190.4884601,59.9245166
820203200001657,58218.2880093,20.1821404,0.145618796,0,zr,190.4886054,59.9245613
820203200001657,58218.3120718,20.1699753,0.144447535,0,zr,190.488577,59.9245295
820203200001657,58218.352581,20.1111317,0.138849229,0,zr,190.4884955,59.924529
820203200001657,58218.3544792,19.9594173,0.125007272,0,zr,190.4885059,59.924526
820203200001657,58219.2255093,19.7934875,0.110987268,0,zr,190.4886158,59.9244976
820203200001657,58219.2329745,20.0041561,0.128993377,0,zr,190.4885501,59.9244535
820203200001657,58219.2702546,20.0009327,0.128703415,0,zr,190.4885885,59.9245676
820203200001657,58219.2731019,20.1371708,0.141312331,0,zr,190.4884749,59.9245438
820203200001657,58219.3343866,19.9697781,0.125922903,0,zr,190.4885762,59.9245149
820203200001657,58219.3555903,19.9687634,0.125833064,0,zr,190.4885565,59.9245384
820203200001657,58221.2491551,19.9970684,0.128356382,0,zr,190.4883958,59.9245599
820203200001657,58221.2690972,20.0000687,0.128625825,0,zr,190.4879206,59.9244148
820203200001657,58221.2700231,19.79249,0.110906735,0,zr,190.4883123,59.9246515
820203200001657,58222.2689815,20.1403255,0.141612262,0,zr,190.4883541,59.9245566
820203200001657,58222.2718634,19.6607323,0.100679882,0,zr,190.4886824,59.9243736
820203200001657,58222.2925926,19.897747,0.119652927,0,zr,190.4888602,59.9245536
820203200001657,58222.3329861,19.95051,0.124223739,0,zr,190.4885278,59.9244975
820203200001657,58224.2157407,19.5468788,0.0924962088,32768,zr,190.4885975,59.9245461
820203200001657,58224.2417477,19.9119263,0.120869316,0,zr,190.4885832,59.9245833
820203200001657,58224.2917245,20.0196419,0.130392611,0,zr,190.4885874,59.9245587
820203200001657,58226.2677662,20.0798264,0.135920048,0,zr,190.4884402,59.9244804
820203200001657,58226.2798727,19.99823,0.128460616,0,zr,190.4886031,59.9245418
820203200001657,58226.2827431,20.0131264,0.129802719,0,zr,190.4885774,59.9245281
820203200001657,58226.3060764,20.0533295,0.13346909,0,zr,190.48855,59.9245429
820203200001657,58227.2634375,20.0610123,0.134177119,0,zr,190.4885096,59.9245342
820203200001657,58227.2840046,20.0096302,0.129486814,0,zr,190.4886667,59.9244969
820203200001657,58227.284919,20.1177959,0.139477298,0,zr,190.488604,59.9246208
820203200001657,58227.2858333,19.9480247,0.124005705,0,zr,190.4884042,59.9245525
820203200001657,58231.184294,20.0156631,0.130032182,0,zr,190.4886614,59.9245167
820203200001657,58231.2653472,19.952713,0.124417208,0,zr,190.4884643,59.9244953
820203200001657,58231.3181829,20.083868,0.136296183,0,zr,190.4886322,59.9245526
820203200001657,58231.3205093,20.0353336,0.131819993,0,zr,190.4885678,59.9244998
820203200001657,58231.3454051,19.8451824,0.115222208,0,zr,190.48845,59.9245177
820203200001657,58232.2205093,20.0053215,0.129098356,0,zr,190.4885594,59.9245591
820203200001657,58233.1819213,19.8693581,0.117244571,0,zr,190.4885313,59.9245363
820203200001657,58233.1989468,20.0774765,0.135701522,0,zr,190.488524,59.9245555
820203200001657,58242.2828819,19.9611187,0.125157297,0,zr,190.4885779,59.9245365
820203200001657,58242.2973264,19.9889832,0.127632231,0,zr,190.4886541,59.9245237
820203200001657,58242.3244676,19.9627419,0.125300616,0,zr,190.4884673,59.9245617
820203200001657,58242.3274306,20.0267487,0.131037727,0,zr,190.4885292,59.9245457
820203200001657,58242.328912,19.9941273,0.128092676,0,zr,190.4886321,59.9245414
820203200001657,58243.1789352,20.0138683,0.129869774,0,zr,190.4884533,59.9245731
820203200001657,58243.1798495,20.0634785,0.134404719,0,zr,190.4884849,59.9244803
820203200001657,58243.2777083,20.1096077,0.13870585,0,zr,190.4885106,59.9245222
820203200001657,58244.1784838,20.0359459,0.131875932,0,zr,190.4885459,59.9244941
820203200001657,58244.1793981,20.0108147,0.12959379,0,zr,190.4885542,59.9245346
820203200001657,58244.3174421,20.0100899,0.129528344,32768,zr,190.4883786,59.9245187
820203200001657,58245.1776505,20.1332016,0.140935332,0,zr,190.4884765,59.9244858
820203200001657,58246.2240625,19.9271393,0.122184128,0,zr,190.4884852,59.9245297
820203200001657,58246.2409028,20.0991821,0.137726903,0,zr,190.4884148,59.9246128
820203200001657,58246.2623148,19.9001408,0.119857639,0,zr,190.4884675,59.9245092
820203200001657,58247.2432986,20.0033264,0.128918692,0,zr,190.4885412,59.9245251
820203200001657,58247.244213,20.0051365,0.12908183,0,zr,190.4885829,59.9245324
820203200001657,58247.2562269,20.0266418,0.131028205,0,zr,190.4885694,59.9245293
820203200001657,58247.2915972,19.9629059,0.125315025,0,zr,190.4885278,59.9245091
820203200001657,58248.2483565,19.8790035,0.118058778,0,zr,190.4885403,59.9245385
820203200001657,58248.2631134,19.8626633,0.116681881,0,zr,190.4884052,59.9245816
820203200001657,58248.2760648,19.8968925,0.119579889,0,zr,190.4883864,59.9245681
820203200001657,58248.2769676,20.0856056,0.136458129,0,zr,190.4885362,59.9245812
820203200001657,58248.2778819,20.0919113,0.137046665,0,zr,190.4883628,59.9245263
820203200001657,58249.260625,19.6917973,0.103018001,0,zr,190.4881808,59.9245951
820203200001657,58249.2894329,20.08214,0.136135206,0,zr,190.4878098,59.9244482
820203200001657,58250.2412847,19.9735165,0.126254424,0,zr,190.488737,59.9244267
820203200001657,58254.1789005,20.0745411,0.13542901,0,zr,190.4886724,59.9245595
820203200001657,58254.1798148,20.0665894,0.134692341,0,zr,190.4886152,59.9245441
820203200001657,58255.2477662,19.9808102,0.126902953,0,zr,190.4885437,59.9245375
820203200001657,58256.2850579,20.141695,0.141742498,0,zr,190.4885773,59.924537
820203200001657,58257.2453472,20.0775108,0.13570486,0,zr,190.488647,59.9245663
820203200001657,58257.2467477,20.0238266,0.130772293,0,zr,190.4885424,59.9245183
820203200001657,58257.2853356,20.1998596,0.147332907,0,zr,190.4884913,59.9245514
820203200001657,58257.2862847,20.1006927,0.137868583,0,zr,190.488585,59.9245338
820203200001657,58260.1777315,20.1683998,0.144296139,0,zr,190.4884332,59.9245288
820203200001657,58260.1792014,19.9877872,0.12752527,0,zr,190.4885394,59.924469
820203200001657,58267.3035648,20.1511021,0.142639488,0,zr,190.4884832,59.9244026
820203200001657,58267.323044,19.7948761,0.111099437,0,zr,190.4883705,59.9246083
820203200001657,58269.1965972,19.9770813,0.126571134,0,zr,190.4884341,59.9245108
820203200001657,58270.3089236,20.1777344,0.145194024,0,zr,190.4884506,59.9246236
820203200001657,58270.3269213,19.9227829,0.121806592,0,zr,190.4882361,59.9244348
820203200001657,58271.1752431,20.2201004,0.14930208,0,zr,190.4886663,59.9245208
820203200001657,58279.2454745,20.0556297,0.133680835,0,zr,190.4886841,59.9245328
820203200001657,58282.2220833,19.9977837,0.128420591,0,zr,190.4887063,59.9245455
820203200001657,58288.2433218,19.9874058,0.127491176,0,zr,190.4885234,59.9245178
820203200001657,58291.2475926,20.3888206,0.166060597,0,zr,190.4887216,59.9246215
820203200001657,58293.2431597,19.9985886,0.128492817,0,zr,190.4884965,59.9245363
820203200001657,58293.2683796,19.7858353,0.11037086,0,zr,190.4887844,59.9246263
820203200001657,58294.2376852,20.0252533,0.130901828,0,zr,190.4885962,59.9244894
820203200001657,58294.2539931,20.2192039,0.14921464,0,zr,190.4886713,59.9245154
820203200001657,58296.241794,20.0439301,0.132606268,0,zr,190.4884419,59.9244868
820203200001657,58297.2833102,19.7650833,0.10871283,0,zr,190.4883727,59.9245524
820203200001657,58300.1855671,20.0551338,0.133635178,0,zr,190.4884257,59.924557
820203200001657,58306.1771412,19.9815426,0.126968145,0,zr,190.4884564,59.9245071
820203200001657,58319.2152431,20.0808125,0.136011645,0,zr,190.4888161,59.924324
820203200001657,58319.2335185,19.9826164,0.12706387,0,zr,190.4884959,59.9244787
820203200001657,58319.26,20.1288414,0.140521824,0,zr,190.4885573,59.9244298
820203200001657,58322.2444329,20.1193371,0.139622927,0,zr,190.4885536,59.9245376
820203200001657,58322.2674306,19.9522209,0.124373935,0,zr,190.4887618,59.9245408
820203200001657,58325.2140741,19.9202652,0.121588781,0,zr,190.4886604,59.9246245
820203200001657,58325.2150231,20.3160057,0.158767924,0,zr,190.4885452,59.9245835
820203200001657,58336.203287,20.1378555,0.14137736,0,zr,190.4887489,59.9245595
820203200001657,58346.1740046,19.9315491,0.12256714,0,zr,190.4886007,59.9245247
820203200001657,58353.1448611,19.9695415,0.125901982,0,zr,190.4885039,59.9245357
820203200001657,58364.1390509,19.8051758,0.111934066,0,zr,190.4883424,59.9246822
820203200001657,58426.5096875,20.0891628,0.136789933,0,zr,190.4887203,59.9244595
820203200001657,58429.5521644,20.400938,0.167279184,0,zr,190.4884941,59.9245416
820203200001657,58431.5444792,19.7522259,0.10769555,0,zr,190.4887901,59.9245081
820203200001657,58432.5095602,20.239336,0.151183605,0,zr,190.4885093,59.9246122
820203200001657,58432.5252315,19.7710438,0.109186999,0,zr,190.4884349,59.9246377
820203200001657,58432.5497454,20.2573338,0.152952507,0,zr,190.4885438,59.9245472
820203200001657,58440.550081,20.0372334,0.131993517,0,zr,190.4886424,59.9245721
820203200001657,58443.470706,20.0681381,0.134835497,0,zr,190.4888328,59.9243999
820203200001657,58447.4469907,20.1408405,0.141661257,0,zr,190.4886817,59.9244536
820203200001657,58447.5267014,19.919735,0.121542916,0,zr,190.4884842,59.9244386
820203200001657,58476.5273495,20.1063862,0.138402998,0,zr,190.4881244,59.9245794
820203200001657,58486.4882755,20.3685017,0.164019808,0,zr,190.4885086,59.9244463
820203200001657,58491.554838,20.0007858,0.128690317,0,zr,190.4886083,59.9245957
820203200001657,58502.5372569,20.0290718,0.131249234,0,zr,190.4883758,59.9247289
820203200001657,58511.4038079,20.2404728,0.15129514,0,zr,190.4887555,59.9245099
820203200001657,58534.4006713,19.6055546,0.0966382101,0,zr,190.4884385,59.9246593
820203200001657,58539.3052431,19.925621,0.122052513,32768,zr,190.4884856,59.9245363
820203200001657,58539.3424769,20.1322727,0.140847117,0,zr,190.4885895,59.9245483
820203200001657,58540.2962731,20.2105122,0.148367792,0,zr,190.4885107,59.9243801
820203200001657,58540.3235417,20.4193001,0.16912654,0,zr,190.4883933,59.9245352
820203200001657,58540.3503935,20.1888046,0.146262586,0,zr,190.4885408,59.9244844
820203200001657,58543.3471528,20.0523415,0.133378312,0,zr,190.4886264,59.924422
820203200001657,58543.3641204,20.1049309,0.138266161,0,zr,190.488506,59.9244863
